,hvstGrupp,hvstCo,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
3032,12.0,0.25,19.5,15.933333333333302,42.075,7,8.5,36.625,9.25,2.783684211,6.971842105,19.0,26.09369898
3033,12.0,0.25,19.5,15.933333333333302,42.075,7,8.5,36.625,9.25,2.782666667,6.893333332999999,15.0,25.99464816
3034,12.0,0.25,19.5,15.933333333333302,42.075,7,8.5,36.625,9.25,2.7686666669999997,6.909333332999999,15.0,26.19068623
3035,12.0,0.25,19.5,15.933333333333302,42.075,7,8.5,36.625,9.25,2.7427272730000003,6.914090909,11.0,25.60970068
3036,12.0,0.25,19.5,15.933333333333302,42.075,7,8.5,36.625,9.25,2.766666667,6.944722222,18.0,25.8116793
3037,12.0,0.25,19.5,15.933333333333302,42.075,7,8.5,36.625,9.25,2.743666667,6.916,15.0,26.26910146
3038,14.75,1.0,9.275,11.95,34.8,19,14.25,31.8,6.1775,2.226666667,6.093666667000001,15.0,33.78111007
3039,14.75,1.0,9.275,11.95,34.8,19,14.25,31.8,6.1775,2.181458333,6.214583332999999,24.0,33.40102051
3040,14.75,1.0,9.275,11.95,34.8,19,14.25,31.8,6.1775,2.1795,6.17425,20.0,33.73945642
3041,14.75,1.0,9.275,11.95,34.8,19,14.25,31.8,6.1775,2.167391304,6.652391304,23.0,33.38630591
3042,14.75,1.0,9.275,11.95,34.8,19,14.25,31.8,6.1775,2.156363636,6.138863636,22.0,33.42705405
3043,14.75,1.0,9.275,11.95,34.8,19,14.25,31.8,6.1775,2.147,6.112,5.0,34.86410497
3044,14.75,1.0,9.275,11.95,34.8,19,14.25,31.8,6.1775,2.1539130440000003,6.091956522,23.0,33.65796015
3045,15.3125,1.5,10.025,14.1250000000001,34.425,20,16.0,28.65,5.9875,2.15975,6.10375,20.0,33.552015000000004
3046,15.3125,1.5,10.025,14.1250000000001,34.425,20,16.0,28.65,5.9875,2.1484210530000003,6.143684211,19.0,33.37772736
3047,15.3125,1.5,10.025,14.1250000000001,34.425,20,16.0,28.65,5.9875,2.123,6.184,5.0,34.61418307
3048,15.3125,1.5,10.025,14.1250000000001,34.425,20,16.0,28.65,5.9875,2.145,6.152916667,12.0,33.79152348
3049,15.3125,1.5,10.025,14.1250000000001,34.425,20,16.0,28.65,5.9875,2.155,6.16,13.0,33.83558023
3050,15.3125,1.5,10.025,14.1250000000001,34.425,20,16.0,28.65,5.9875,2.153478261,6.141086957000001,23.0,33.54929845
3051,15.3125,1.5,10.025,14.1250000000001,34.425,20,16.0,28.65,5.9875,2.151136364,6.171363636000001,22.0,33.54065491
3052,12.875,1.25,10.95,17.9000000000001,30.45,17,12.75,26.2,6.0975,2.19,6.47,5.0,32.61480787
3053,12.875,1.25,10.95,17.9000000000001,30.45,17,12.75,26.2,6.0975,2.1825,6.53,10.0,31.61512028
3054,12.875,1.25,10.95,17.9000000000001,30.45,17,12.75,26.2,6.0975,2.2021428569999997,6.155714286,21.0,31.41875307
3055,12.875,1.25,10.95,17.9000000000001,30.45,17,12.75,26.2,6.0975,2.2080952380000003,6.1238095239999994,21.0,31.24023743
3056,12.875,1.25,10.95,17.9000000000001,30.45,17,12.75,26.2,6.0975,2.220869565,6.153913043999999,23.0,33.25047879
3057,12.875,1.25,10.95,17.9000000000001,30.45,17,12.75,26.2,6.0975,2.216136364,6.150909091,22.0,33.19985232
3058,12.875,1.25,10.95,17.9000000000001,30.45,17,12.75,26.2,6.0975,2.2068181819999997,6.143636364,22.0,33.39865383
3059,14.466,3.8,9.16,23.033333333333303,31.46,18,12.8,27.86,6.247999999999999,2.201818182,6.111590908999999,22.0,33.28505297
3060,14.466,3.8,9.16,23.033333333333303,31.46,18,12.8,27.86,6.247999999999999,2.191842105,6.115263157999999,19.0,33.54214966
3061,14.466,3.8,9.16,23.033333333333303,31.46,18,12.8,27.86,6.247999999999999,2.209375,6.148125,8.0,33.973758200000006
3062,14.466,3.8,9.16,23.033333333333303,31.46,18,12.8,27.86,6.247999999999999,2.2018,6.2596,25.0,33.38956576
3063,14.466,3.8,9.16,23.033333333333303,31.46,18,12.8,27.86,6.247999999999999,2.218409091,6.2315909089999995,22.0,33.45545426
3064,14.466,3.8,9.16,23.033333333333303,31.46,18,12.8,27.86,6.247999999999999,2.239047619,6.1711904760000005,21.0,33.35267253
3065,11.855,4.0,28.325,12.275,33.0,15,8.5,31.15,7.8925,2.016136364,6.1465909089999995,22.0,31.26863764
3066,11.855,4.0,28.325,12.275,33.0,15,8.5,31.15,7.8925,1.8821428569999998,6.121190476000001,21.0,31.15097961
3067,11.855,4.0,28.325,12.275,33.0,15,8.5,31.15,7.8925,1.8435,6.17375,20.0,31.17775695
3068,11.855,4.0,28.325,12.275,33.0,15,8.5,31.15,7.8925,2.223636364,6.638409091000001,22.0,31.09823635
3069,11.855,4.0,28.325,12.275,33.0,15,8.5,31.15,7.8925,2.2385294119999997,6.498529412000001,17.0,31.35049709
3070,11.855,4.0,28.325,12.275,33.0,15,8.5,31.15,7.8925,2.1825,6.645,2.0,34.67666354
3071,11.855,4.0,28.325,12.275,33.0,15,8.5,31.15,7.8925,2.310454546,6.433636364,22.0,31.24023743
3072,12.5425,2.25,14.4,22.8333333333333,32.475,16,11.0,28.275,8.0775,2.308095238,5.938809524,21.0,31.18073221
3073,12.5425,2.25,14.4,22.8333333333333,32.475,16,11.0,28.275,8.0775,2.297727273,6.293409091,22.0,31.21183721
3074,12.5425,2.25,14.4,22.8333333333333,32.475,16,11.0,28.275,8.0775,2.2840000000000003,6.4645,20.0,31.14651671
3075,12.5425,2.25,14.4,22.8333333333333,32.475,16,11.0,28.275,8.0775,1.3640476190000002,6.723095237999999,21.0,31.18073221
3076,12.5425,2.25,14.4,22.8333333333333,32.475,16,11.0,28.275,8.0775,2.17,6.316052632000001,19.0,31.07581512
3077,12.5425,2.25,14.4,22.8333333333333,32.475,16,11.0,28.275,8.0775,2.210526316,6.381842105,19.0,30.97716174
3078,12.5425,2.25,14.4,22.8333333333333,32.475,16,11.0,28.275,8.0775,2.213333333,6.410333333,15.0,31.36519838
3086,10.7075,2.0,16.05,0.0,32.3,14,16.25,25.5,8.31,2.177857143,6.185476191,21.0,31.18073221
3087,10.7075,2.0,16.05,0.0,32.3,14,16.25,25.5,8.31,2.17825,6.196000000000001,20.0,31.11527648
3088,10.7075,2.0,16.05,0.0,32.3,14,16.25,25.5,8.31,2.11,6.2275,2.0,33.42705405
3089,10.7075,2.0,16.05,0.0,32.3,14,16.25,25.5,8.31,2.1383333330000003,6.276666667000001,6.0,32.28157867
3090,10.7075,2.0,16.05,0.0,32.3,14,16.25,25.5,8.31,2.143823529,6.192352941,17.0,31.38725031
3091,10.7075,2.0,16.05,0.0,32.3,14,16.25,25.5,8.31,2.122173913,6.214782608999999,23.0,31.34889912
3092,10.7075,2.0,16.05,0.0,32.3,14,16.25,25.5,8.31,2.0890909090000003,6.1952272729999995,22.0,31.15503678
3093,9.1675,1.0,14.925,18.2,31.7,11,14.75,30.1,7.1125,2.351,5.9595,20.0,29.08466104
3094,9.1675,1.0,14.925,18.2,31.7,11,14.75,30.1,7.1125,2.3478,5.9856,25.0,29.14089347
3095,9.1675,1.0,14.925,18.2,31.7,11,14.75,30.1,7.1125,2.35826087,6.010869565,23.0,29.03983809
3096,9.1675,1.0,14.925,18.2,31.7,11,14.75,30.1,7.1125,2.305,6.498333333,3.0,30.82370093
3097,9.1675,1.0,14.925,18.2,31.7,11,14.75,30.1,7.1125,2.368571429,6.338571429,21.0,29.21706015
3098,9.1675,1.0,14.925,18.2,31.7,11,14.75,30.1,7.1125,2.3671739130000002,6.253695652,23.0,29.22999606
3099,9.1675,1.0,14.925,18.2,31.7,11,14.75,30.1,7.1125,2.377916667,6.006666667,12.0,29.57409143
3100,9.3325,0.5,19.875,22.1,33.3,12,15.75,29.975,7.77,2.2728,6.3906,25.0,29.21587004
3101,9.3325,0.5,19.875,22.1,33.3,12,15.75,29.975,7.77,2.2987037040000002,6.1935185189999995,27.0,29.22697768
3102,9.3325,0.5,19.875,22.1,33.3,12,15.75,29.975,7.77,2.33,6.106666667000001,6.0,30.19889618
3103,9.3325,0.5,19.875,22.1,33.3,12,15.75,29.975,7.77,2.357173913,6.030869565,23.0,29.28432691
3104,9.3325,0.5,19.875,22.1,33.3,12,15.75,29.975,7.77,2.305,6.1375,2.0,31.86504217
