,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
2018,28.525,47.1,37,13.75,16.3,6.8275,2.497398543,5.993756503999999,6.8625,80.0
2019,36.225,52.625,38,12.0,24.1,14.05,2.498262682,5.995830438,8.988235293999999,85.0
2020,36.225,52.625,38,12.0,24.1,14.05,2.498262682,5.995830438,10.72048408,84.34027778
2021,36.225,52.625,38,12.0,24.1,14.05,2.5,6.0,9.71875,80.0
2022,36.225,52.625,38,12.0,24.1,14.05,2.5,6.0,7.806979984,84.42361111
2023,36.225,52.625,38,12.0,24.1,14.05,2.5,6.0,5.988235294,85.0
2024,36.225,52.625,38,12.0,24.1,14.05,2.5,6.0,8.988235293999999,85.0
2025,36.225,52.625,38,12.0,24.1,14.05,2.4947880469999997,5.987491313,9.073529412000001,85.0
2032,0.0,0.0,40,0.0,0.0,0.0,2.5,6.0,1.0,80.0
2033,0.0,0.0,40,0.0,0.0,0.0,2.5,6.0,11.9875,80.0
2034,0.0,0.0,40,0.0,0.0,0.0,2.5,6.0,5.190625,80.0
2035,0.0,0.0,40,0.0,0.0,0.0,2.495697074,5.989672978,2.0,80.0
2036,0.0,0.0,40,0.0,0.0,0.0,2.494918699,5.9878048779999995,12.221875,80.0
2037,0.0,0.0,40,0.0,0.0,0.0,2.5,6.0,11.17211851,78.78048781
2103,0.0,0.0,1,0.0,0.0,0.0,2.5,5.4,3.0,80.0
2104,0.0,0.0,1,0.0,0.0,0.0,2.5,5.4,3.0,80.0
2105,0.0,0.0,1,0.0,0.0,0.0,2.5,5.4,3.73125,80.0
2106,0.0,0.0,1,0.0,0.0,0.0,2.5,5.4,3.013636364,77.14285714
2107,0.0,0.0,1,0.0,0.0,0.0,2.5,5.4,2.791496294,76.13333333
2108,0.0,0.0,1,0.0,0.0,0.0,2.5,5.4,1.778834808,65.32945736
2109,0.0,0.0,1,0.0,0.0,0.0,2.5,5.4,1.0,57.5
2110,0.0,0.0,2,0.0,0.0,0.0,2.5,5.4,3.0,57.5
2111,0.0,0.0,2,0.0,0.0,0.0,2.5,5.4,4.0,57.5
2112,0.0,0.0,2,0.0,0.0,0.0,2.5,5.4,3.0,57.5
2113,0.0,0.0,2,0.0,0.0,0.0,2.5,5.4,2.9,57.5
2114,0.0,0.0,2,0.0,0.0,0.0,2.5,5.4,4.9875,57.5
2115,0.0,0.0,2,0.0,0.0,0.0,2.5,5.4,4.0,57.5
2116,0.0,0.0,2,0.0,0.0,0.0,2.5,5.4,3.0,57.5
2117,0.0,0.0,3,0.0,0.0,0.0,2.5,5.4,5.9825,57.5
2118,0.0,0.0,3,0.0,0.0,0.0,2.5,5.4,3.0,57.5
2119,0.0,0.0,3,0.0,0.0,0.0,2.5,5.4,4.9875,57.5
2120,0.0,0.0,3,0.0,0.0,0.0,2.5,5.4,4.9875,57.5
2121,0.0,0.0,3,0.0,0.0,0.0,2.5,5.4,4.854166667,57.5
2122,0.0,0.0,3,0.0,0.0,0.0,2.5,5.4,4.9875,57.5
2158,0.0,0.0,9,0.0,0.0,0.0,2.0,5.5,8.523700827999999,66.45331325
2159,0.0,0.0,9,0.0,0.0,0.0,2.0,5.5,8.985119048,67.5
2160,0.0,0.0,9,0.0,0.0,0.0,2.0,5.5,1.0,67.5
2161,0.0,0.0,9,0.0,0.0,0.0,2.0,5.5,8.985119048,67.5
2162,0.0,0.0,9,0.0,0.0,0.0,2.0,5.5,9.985119048,67.5
2163,0.0,0.0,9,0.0,0.0,0.0,2.0,5.5,11.98392857,62.5
2164,0.0,0.0,9,0.0,0.0,0.0,2.0,5.5,2.928571429,62.5
2242,0.0,0.0,21,0.0,0.0,0.0,2.0,5.5,14.98333333,60.0
2243,0.0,0.0,21,0.0,0.0,0.0,2.0,5.5,11.98333333,60.0
2244,0.0,0.0,21,0.0,0.0,0.0,2.0,5.5,11.98333333,60.0
2245,0.0,0.0,21,0.0,0.0,0.0,2.0,5.5,13.3375,60.0
2246,0.0,0.0,21,0.0,0.0,0.0,2.0,5.5,12.98333333,60.0
2247,0.0,0.0,21,0.0,0.0,0.0,2.0,5.5,7.983333332999999,60.0
2248,0.0,0.0,21,0.0,0.0,0.0,2.0,5.5,11.98333333,60.0
2270,0.0,0.0,25,0.0,0.0,0.0,2.0,5.5,9.516666667,60.0
2271,0.0,0.0,25,0.0,0.0,0.0,2.0,5.5,6.983333332999999,60.0
2272,0.0,0.0,25,0.0,0.0,0.0,2.0,5.5,12.6375,60.0
2273,0.0,0.0,25,0.0,0.0,0.0,2.0,5.5,12.98333333,60.0
2274,0.0,0.0,25,0.0,0.0,0.0,2.0,5.5,11.98333333,60.0
2275,0.0,0.0,25,0.0,0.0,0.0,2.0,5.5,10.98333333,60.0
2276,0.0,0.0,25,0.0,0.0,0.0,2.0,5.5,11.98333333,60.0
2277,0.0,0.0,26,0.0,0.0,0.0,2.0,5.5,11.98333333,60.0
2278,0.0,0.0,26,0.0,0.0,0.0,2.0,5.5,3.0,60.0
2279,0.0,0.0,26,0.0,0.0,0.0,2.0,5.5,5.983333332999999,60.0
2280,0.0,0.0,26,0.0,0.0,0.0,2.0,5.5,2.0,60.0
2281,0.0,0.0,26,0.0,0.0,0.0,2.0,5.5,8.983333333,60.0
2282,0.0,0.0,26,0.0,0.0,0.0,2.0,5.5,2.0,60.0
2283,0.0,0.0,26,0.0,0.0,0.0,2.0,5.5,4.0,60.0
2284,0.0,0.0,27,0.0,0.0,0.0,2.0,5.5,7.275,60.0
2285,0.0,0.0,27,0.0,0.0,0.0,0.818624045,2.2512161219999998,2.826106195,111.1413044
2286,0.0,0.0,34,0.0,0.0,0.0,2.0,5.8,1.0,200.0
2287,0.0,0.0,34,0.0,0.0,0.0,2.0,5.8,1.0,200.0
2288,0.0,0.0,34,0.0,0.0,0.0,2.0,5.8,1.0,200.0
